Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/167,-68.0001,359.99951,2999.1001,-0.181,34.66,32.75,0.409756
PS71/167,-68.0001,359.99951,3503.0,-0.23,34.654999,,
PS71/167,-68.0001,359.99951,4001.8999,-0.247,34.653999,32.779999,0.517073
PS71/167,-68.0001,359.99951,4201.2998,-0.246,34.653999,32.66,0.468293
PS71/167,-68.0001,359.99951,4428.5,-0.253,34.653,32.68,0.760976
PS71/175,-69.0035,0.00071,6.4,-1.131,33.980999,25.5,0.126829
PS71/175,-69.0035,0.00071,9.3,-1.127,33.981998,,
PS71/175,-69.0035,0.00071,23.5,-1.132,33.981998,,
PS71/175,-69.0035,0.00071,24.9,-1.131,33.980999,25.67,0.136585
PS71/175,-69.0035,0.00071,25.0,-1.131,33.98,25.629999,0.136585
PS71/175,-69.0035,0.00071,49.3,-1.301,34.162998,,
PS71/175,-69.0035,0.00071,50.4,-1.188,34.094002,27.58,0.126829
PS71/175,-69.0035,0.00071,74.5,-1.468,34.436001,,
PS71/175,-69.0035,0.00071,75.2,-1.592,34.415001,30.049999,0.04878
PS71/175,-69.0035,0.00071,100.2,-1.353,34.462002,30.77,0.165854
PS71/175,-69.0035,0.00071,100.6,-1.038,34.491001,,
PS71/175,-69.0035,0.00071,148.7,0.253,34.606998,32.27,0.214634
PS71/175,-69.0035,0.00071,149.8,0.045,34.597,,
PS71/175,-69.0035,0.00071,199.4,0.688,34.653999,32.18,0.253659
PS71/175,-69.0035,0.00071,200.2,0.664,34.651001,,
PS71/175,-69.0035,0.00071,249.7,0.756,34.664001,32.09,0.263415
PS71/175,-69.0035,0.00071,299.9,0.762,34.672001,32.07,0.321951
PS71/175,-69.0035,0.00071,300.9,0.753,34.674999,,
PS71/175,-69.0035,0.00071,399.7,0.744,34.681,32.110001,0.302439
PS71/175,-69.0035,0.00071,400.6,0.718,34.682999,,
PS71/175,-69.0035,0.00071,499.2,0.707,34.686001,32.009998,0.321951
PS71/175,-69.0035,0.00071,500.1,0.695,34.687,,
PS71/175,-69.0035,0.00071,749.6,0.515,34.682999,32.360001,0.35122
PS71/175,-69.0035,0.00071,750.5,0.533,34.685001,,
PS71/175,-69.0035,0.00071,999.9,0.39,34.68,,
PS71/175,-69.0035,0.00071,1000.5,0.373,34.678001,32.57,0.419512
PS71/175,-69.0035,0.00071,1250.7,0.23,34.674,32.689999,0.497561
PS71/175,-69.0035,0.00071,1251.3,0.254,34.675999,,
PS71/175,-69.0035,0.00071,1500.0,0.16,34.672001,,
PS71/175,-69.0035,0.00071,1500.1,0.146,34.669998,32.779999,0.390244
PS71/175,-69.0035,0.00071,1748.8,0.051,34.667,32.630001,0.439024
PS71/175,-69.0035,0.00071,1998.7,0.0,34.665001,,
PS71/175,-69.0035,0.00071,2000.0,-0.011,34.664001,32.5,0.4
PS71/175,-69.0035,0.00071,2250.5,-0.077,34.660999,32.619999,0.429268
PS71/175,-69.0035,0.00071,2499.6001,-0.095,34.660999,,
PS71/175,-69.0035,0.00071,2499.8,-0.105,34.66,32.5,0.44878
PS71/175,-69.0035,0.00071,2749.8,-0.112,34.66,,
